"dates","means","Type","country","Low","High","zeta_0_true","xi_0_true","zeta_1_true","xi_1_true"
2020-01-18,1.00031671668574,"Misidentified_Bayesian","hongkong",0.000118837792272105,2.99739406493301,2,18,4,8
2020-01-18,NA,"True(GI, infected)","hongkong",NA,NA,NA,NA,NA,NA
2020-01-18,NA,"True(SI, diagnosed)","hongkong",NA,NA,NA,NA,NA,NA
2020-01-19,0.791262950432119,"True(GI, infected)","hongkong",NA,NA,NA,NA,NA,NA
2020-01-19,1,"Misidentified_EpiEstim(no sliding)","hongkong",6.34421478143732e-09,2.99573240043829,2,18,4,8
2020-01-19,1.75606780152159,"Misidentified_Bayesian","hongkong",0.38969342565868,4.23959779579152,2,18,4,8
2020-01-19,NA,"True(SI, diagnosed)","hongkong",NA,NA,NA,NA,NA,NA
2020-01-20,0.906564070955202,"True(GI, infected)","hongkong",NA,NA,NA,NA,NA,NA
2020-01-20,1,"Misidentified_EpiEstim(no sliding)","hongkong",6.34421478143732e-09,2.99573240043829,2,18,4,8
2020-01-20,1.02021809385025,"Misidentified_Bayesian","hongkong",0.128965233135266,2.7778564405437,2,18,4,8
2020-01-20,NA,"True(SI, diagnosed)","hongkong",NA,NA,NA,NA,NA,NA
2020-01-21,0,"True(SI, diagnosed)","hongkong",NA,NA,NA,NA,NA,NA
2020-01-21,0.649209153898383,"True(GI, infected)","hongkong",NA,NA,NA,NA,NA,NA
2020-01-21,0.930870634066102,"Misidentified_Bayesian","hongkong",0.0613150379340877,2.67304682236981,2,18,4,8
2020-01-21,1.00395516735351,"Misidentified_EpiEstim(no sliding)","hongkong",0.000169459532044396,3.00267583709419,2,18,4,8
2020-01-22,0,"True(SI, diagnosed)","hongkong",NA,NA,NA,NA,NA,NA
2020-01-22,0.684721321844695,"True(GI, infected)","hongkong",NA,NA,NA,NA,NA,NA
2020-01-22,0.942371421529973,"Misidentified_Bayesian","hongkong",0.0742042876688,2.67673581788792,2,18,4,8
2020-01-22,1.01110490367283,"Misidentified_EpiEstim(no sliding)","hongkong",0.000508365902878226,3.01428416117219,2,18,4,8
2020-01-23,0.235025768010216,"True(SI, diagnosed)","hongkong",NA,NA,NA,NA,NA,NA
2020-01-23,0.756112013093132,"True(GI, infected)","hongkong",NA,NA,NA,NA,NA,NA
2020-01-23,0.955026651460978,"Misidentified_Bayesian","hongkong",0.0873512033961283,2.68354565246201,2,18,4,8
2020-01-23,1.01495669410121,"Misidentified_EpiEstim(no sliding)","hongkong",0.000799975263573987,3.01738183499104,2,18,4,8
2020-01-24,0.847609164714623,"True(GI, infected)","hongkong",NA,NA,NA,NA,NA,NA
2020-01-24,0.970731843517119,"Misidentified_Bayesian","hongkong",0.0979200668770287,2.69788483116064,2,18,4,8
2020-01-24,0.990001316805276,"True(SI, diagnosed)","hongkong",NA,NA,NA,NA,NA,NA
2020-01-24,1.04104363872424,"Misidentified_EpiEstim(no sliding)","hongkong",0.00246300975776835,3.05359073350537,2,18,4,8
2020-01-25,0.653215699025832,"True(SI, diagnosed)","hongkong",NA,NA,NA,NA,NA,NA
2020-01-25,0.810926836110726,"True(GI, infected)","hongkong",NA,NA,NA,NA,NA,NA
2020-01-25,0.949898504631843,"Misidentified_Bayesian","hongkong",0.0784669432184338,2.65149345078712,2,18,4,8
2020-01-25,1.03887248188569,"Misidentified_EpiEstim(no sliding)","hongkong",0.00314930247223744,3.02696413153305,2,18,4,8
2020-01-25,1.10485785008019,"Misidentified_EpiEstim(weekly sliding)","hongkong",0.00892646346886906,3.12704435819303,2,18,4,8
2020-01-26,0.665732500205288,"True(SI, diagnosed)","hongkong",NA,NA,NA,NA,NA,NA
2020-01-26,0.826111527422554,"True(GI, infected)","hongkong",NA,NA,NA,NA,NA,NA
2020-01-26,0.953039874854521,"Misidentified_Bayesian","hongkong",0.0742187531930577,2.63605309821015,2,18,4,8
2020-01-26,1.03810020335944,"Misidentified_EpiEstim(no sliding)","hongkong",0.00579735964651087,2.98607171990052,2,18,4,8
2020-01-26,1.13624008152631,"Misidentified_EpiEstim(weekly sliding)","hongkong",0.0185252103700699,3.1169874116362,2,18,4,8
2020-01-27,0.798775737161902,"True(SI, diagnosed)","hongkong",NA,NA,NA,NA,NA,NA
2020-01-27,0.806965963675302,"True(GI, infected)","hongkong",NA,NA,NA,NA,NA,NA
2020-01-27,0.991195304879212,"Misidentified_Bayesian","hongkong",0.0918100573382793,2.63871975510884,2,18,4,8
2020-01-27,1.05254113162756,"Misidentified_EpiEstim(no sliding)","hongkong",0.00930216382793826,2.94997934073379,2,18,4,8
2020-01-27,1.17423170784228,"Misidentified_EpiEstim(weekly sliding)","hongkong",0.031585573728276,3.07952204662874,2,18,4,8
2020-01-28,0.751787492982473,"True(GI, infected)","hongkong",NA,NA,NA,NA,NA,NA
2020-01-28,0.901746072785059,"True(SI, diagnosed)","hongkong",NA,NA,NA,NA,NA,NA
2020-01-28,0.98448464404939,"Misidentified_Bayesian","hongkong",0.0922384037262383,2.56963462640401,2,18,4,8
2020-01-28,1.03047330231319,"Misidentified_EpiEstim(no sliding)","hongkong",0.0181557684202212,2.82775755058814,2,18,4,8
2020-01-28,1.17863968905625,"Misidentified_EpiEstim(weekly sliding)","hongkong",0.0571677174941247,2.94114081061059,2,18,4,8
2020-01-29,0.82982283881541,"True(GI, infected)","hongkong",NA,NA,NA,NA,NA,NA
2020-01-29,0.885693025275266,"True(SI, diagnosed)","hongkong",NA,NA,NA,NA,NA,NA
2020-01-29,0.97632856496616,"Misidentified_EpiEstim(no sliding)","hongkong",0.0233365553758673,2.63591113209648,2,18,4,8
2020-01-29,0.993040134807523,"Misidentified_Bayesian","hongkong",0.12547893396365,2.49434508731043,2,18,4,8
2020-01-29,1.1237456471243,"Misidentified_EpiEstim(weekly sliding)","hongkong",0.0835679884098499,2.67625214380229,2,18,4,8
2020-01-30,0.875490875012969,"True(GI, infected)","hongkong",NA,NA,NA,NA,NA,NA
2020-01-30,0.90259121387799,"True(SI, diagnosed)","hongkong",NA,NA,NA,NA,NA,NA
2020-01-30,0.943640298575986,"Misidentified_EpiEstim(no sliding)","hongkong",0.0282090611339869,2.48594580334638,2,18,4,8
2020-01-30,0.958685439462138,"Misidentified_Bayesian","hongkong",0.0892938226612144,2.40856471347617,2,18,4,8
2020-01-30,1.05466613154821,"Misidentified_EpiEstim(weekly sliding)","hongkong",0.112438405612486,2.38967437464725,2,18,4,8
2020-01-31,0.868369913750414,"True(GI, infected)","hongkong",NA,NA,NA,NA,NA,NA
2020-01-31,0.87393004971292,"Misidentified_EpiEstim(no sliding)","hongkong",0.0310379080512165,2.27758451908466,2,18,4,8
2020-01-31,0.888018413233569,"True(SI, diagnosed)","hongkong",NA,NA,NA,NA,NA,NA
2020-01-31,0.911122709486366,"Misidentified_Bayesian","hongkong",0.0712056834059511,2.29440388062172,2,18,4,8
2020-01-31,0.955255903458511,"Misidentified_EpiEstim(weekly sliding)","hongkong",0.135312489210023,2.07334454939011,2,18,4,8
