"dates","means","Type","country","Low","High","zeta_0_true","xi_0_true","zeta_1_true","xi_1_true"
2020-01-19,1.00046474682107,"Misidentified_Bayesian","australia",0.000106044088010327,2.99851524088864,2,18,8,8
2020-01-19,NA,"True(GI, infected)","australia",NA,NA,NA,NA,NA,NA
2020-01-19,NA,"True(SI, diagnosed)","australia",NA,NA,NA,NA,NA,NA
2020-01-20,0.89406499340524,"True(GI, infected)","australia",NA,NA,NA,NA,NA,NA
2020-01-20,1,"Misidentified_EpiEstim(no sliding)","australia",6.34421478143732e-09,2.99573240043829,2,18,8,8
2020-01-20,2.04288527394336,"Misidentified_Bayesian","australia",0.912429503372789,3.96170224993435,2,18,8,8
2020-01-20,NA,"True(SI, diagnosed)","australia",NA,NA,NA,NA,NA,NA
2020-01-21,0.541492511598451,"True(GI, infected)","australia",NA,NA,NA,NA,NA,NA
2020-01-21,0.933285451782247,"Misidentified_Bayesian","australia",0.0767870527998465,2.63344173710471,2,18,8,8
2020-01-21,1,"Misidentified_EpiEstim(no sliding)","australia",6.34421478143732e-09,2.99573240043829,2,18,8,8
2020-01-21,NA,"True(SI, diagnosed)","australia",NA,NA,NA,NA,NA,NA
2020-01-22,0,"True(SI, diagnosed)","australia",NA,NA,NA,NA,NA,NA
2020-01-22,0.593324338087188,"True(GI, infected)","australia",NA,NA,NA,NA,NA,NA
2020-01-22,0.946353547764859,"Misidentified_Bayesian","australia",0.0872957343934799,2.64035868701818,2,18,8,8
2020-01-22,1.00390350377391,"Misidentified_EpiEstim(no sliding)","australia",0.000169459531716631,3.00252106683485,2,18,8,8
2020-01-23,0.750762943841478,"True(GI, infected)","australia",NA,NA,NA,NA,NA,NA
2020-01-23,0.959362523993416,"Misidentified_Bayesian","australia",0.107379664088428,2.64725131146198,2,18,8,8
2020-01-23,1.00807302044461,"Misidentified_EpiEstim(no sliding)","australia",0.000379543721036217,3.008930484978,2,18,8,8
2020-01-23,1.04681274900398,"True(SI, diagnosed)","australia",NA,NA,NA,NA,NA,NA
2020-01-24,0.45538278740882,"True(SI, diagnosed)","australia",NA,NA,NA,NA,NA,NA
